dt,ndvi_d,ndvi_c,cosmos_vwc,precip,GCC
2016-06-15,0.1638237384506041,,,,
2016-06-16,0.0106260246523771,,41.0,3.2,
2016-06-17,0.1939817302525524,,40.0,0.0,0.394
2016-06-18,0.5063589260480452,,43.6,0.1,0.394
2016-06-19,0.0097049436592196,,39.7,11.7,0.387
2016-06-20,0.3555992141453831,,41.9,0.9,0.394
2016-06-21,0.0786278823433553,,49.7,0.8,0.393
2016-06-22,0.3498725573491928,,45.6,0.0,0.396
2016-06-23,0.3552511415525114,,40.2,1.6,0.39
2016-06-24,0.0268910582739414,,46.6,4.0,0.394
2016-06-25,0.1305320562119835,0.2199,48.6,0.0,0.394
2016-06-26,0.0100841338982039,,47.5,3.0,0.39
2016-06-27,0.0323055996372704,,48.6,1.2,0.395
2016-06-28,0.0261694915254237,,48.6,0.9,0.394
2016-06-29,0.2199036918138041,,53.3,9.5,0.396
2016-06-30,0.1525537634408602,,56.6,4.9,0.395
2016-07-01,0.0539605229428351,,50.5,1.0,0.392
2016-07-02,0.0061307113938692,,57.0,15.2,0.404
2016-07-03,0.0071194205410759,,52.5,0.0,0.397
2016-07-04,0.0011269337158078,,62.0,6.1,0.392
2016-07-05,0.0246875,,59.7,0.3,0.396
2016-07-06,0.0225310307609282,,64.0,2.9,0.395
2016-07-07,0.0217590772054004,,59.7,0.2,0.396
2016-07-08,0.062252608852105,,58.9,4.2,0.397
2016-07-09,0.0399940968122786,,59.2,2.7,0.395
2016-07-10,0.0891669306303452,,60.5,10.2,0.394
2016-07-11,0.1346595862724895,0.8322,55.7,2.1,0.4
2016-07-12,0.0474418604651162,,53.3,0.5,0.396
2016-07-13,0.6947842884739215,,53.4,6.4,0.392
2016-07-14,0.4017895185342991,,51.5,0.2,
2016-07-15,0.0258175559380378,,61.2,6.4,
2016-07-16,0.1014966454498537,,56.6,0.0,0.393
2016-07-17,0.2293233082706766,,51.5,0.0,0.394
2016-07-18,0.9052224371373307,,54.0,0.0,0.394
2016-07-19,0.832294819298558,,50.7,0.0,0.389
2016-07-20,0.0201311920380004,,50.0,6.0,0.394
2016-07-21,0.0535602748282323,,50.3,0.9,0.394
2016-07-22,0.0346700347331859,,58.5,1.1,0.396
2016-07-23,0.0155840917591322,,66.2,0.5,0.396
2016-07-24,0.2311833746096694,,58.7,8.7,0.394
2016-07-25,0.0486257928118393,,62.7,2.0,0.395
2016-07-26,0.0031948881789137,,65.5,10.8,0.396
2016-07-27,0.2658012859395851,0.8997,56.1,0.4,0.399
2016-07-28,0.0760348196837804,,60.6,7.0,0.396
2016-07-29,0.8997659906396256,,58.3,0.0,0.395
2016-07-30,0.5448607768992781,,59.0,0.0,0.395
2016-07-31,0.1226370285931414,,55.8,3.1,0.394
2016-08-01,0.1214763396258359,,57.9,0.0,0.396
2016-08-02,0.0211867039453246,,57.2,3.0,0.386
2016-08-03,0.0116842105263157,,67.3,2.5,0.397
2016-08-04,0.790778767919411,,56.3,0.9,0.393
2016-08-05,0.2915698030099107,,47.8,0.0,0.393
2016-08-06,0.1302914821299824,,59.3,0.1,0.395
2016-08-07,0.15311544034777,,60.4,1.6,0.392
2016-08-08,0.093335875679283,,54.6,1.4,0.391
2016-08-09,0.1109260801184198,,51.3,1.7,0.388
2016-08-10,0.0215352094067908,,57.0,3.6,0.387
2016-08-11,0.0128929273084479,,66.8,3.2,0.392
2016-08-12,0.0359525253400329,0.8520000000000001,58.0,0.2,0.391
2016-08-13,-0.0105179070696312,,64.6,0.2,0.391
2016-08-14,0.1685393258426966,,61.8,0.5,0.393
2016-08-15,0.4387024964223247,,64.4,0.0,0.391
2016-08-16,0.8520656684106079,,54.0,0.0,0.383
2016-08-17,0.041248774602217,,58.5,0.0,0.388
2016-08-18,0.1606746560142032,,52.8,0.9,0.389
2016-08-19,-0.0035464691770105,,57.4,11.6,0.389
2016-08-20,0.2063919907585675,,60.9,2.9,0.392
2016-08-21,0.0323965390032866,,55.2,8.9,0.393
2016-08-22,,,63.0,1.8,0.393
2016-08-23,0.010807771599925,,66.9,7.5,0.381
2016-08-24,0.8449380606578385,,62.0,0.0,0.392
2016-08-25,0.0672360136064268,,59.8,3.2,0.389
2016-08-26,0.0521556092617135,,59.6,0.3,0.391
2016-08-27,0.84839845715244,,58.8,0.0,0.39
2016-08-28,0.0330596849345462,0.8444,58.5,0.0,0.39
2016-08-29,0.7012280429037774,,61.9,0.1,0.387
2016-08-30,0.8444866920152091,,62.0,0.0,0.385
2016-08-31,0.3617021276595745,,55.6,1.4,0.389
2016-09-01,0.0070153504202264,,60.4,1.6,0.387
2016-09-02,0.178279804028307,,64.1,4.0,0.389
